district,DEM_Candidate,DEM_Total,DEM_Party,REP_Candidate,REP_Total,REP_Party,overspend,district_total
53,Keith-G Laufenberg,760.0,0.0,Jeff Holcomb,224694.06,0.0,223934.06,225454.06
106,Jordan-W Leonard,274683.18,0.0,Fabian Basabe,312762.6,32981.259999999995,38079.419999999984,587445.78
13,Angie Nixon,98332.14000000003,2.0,,0.0,0.0,98332.14000000003,98332.14000000003
83,,0.0,0.0,Kaylee Tuck,103361.17000000001,75.12,103361.17000000001,103361.17000000001
77,Eric Engelhart,7584.439999999998,0.0,Tiffany Esposito,275783.14,10358.140000000001,268198.7,283367.58
2,Carollyn-Rabeca Taylor,13629.130000000001,0.0,Alex Andrade,229212.81,20100.16,215583.68,242841.94
49,,0.0,0.0,Melony Bell,126433.36,87.64,126433.36,126433.36
117,Kevin Chambliss,56042.04,2.0,,0.0,0.0,56042.04,56042.04
98,Patricia Hawkins-Williams,45300.45,0.0,,0.0,0.0,45300.45,45300.45
23,,0.0,0.0,Ralph-E Massullo Jr,0.0,0.0,0.0,0.0
76,,0.0,0.0,Spencer Roach,129342.40999999999,87.64,129342.40999999999,129342.40999999999
95,Christine Hunschofsky,94647.20000000001,2.0,,0.0,0.0,94647.20000000001,94647.20000000001
78,Howard Sapp,5010.76,0.0,Jenna Persons-Mulicka,193981.54,100.16,188970.78,198992.30000000002
36,Deborah Poulalion,46002.05,0.0,Rachel Plakon,425795.18,100243.39000000001,379793.13,471797.23
67,Fentrice Driskell,350122.13,9866.24,Lisette Bonano,15772.14,10331.26,334349.99,365894.27
31,,0.0,0.0,Tyler Sirois,106305.12,75.12,106305.12,106305.12
5,,0.0,0.0,Shane Abbott,419665.69,0.0,419665.69,419665.69
50,,0.0,0.0,Jennifer Canady,335870.29,0.0,335870.29,335870.29
116,,0.0,0.0,Daniel-A Perez,115802.06,166.75,115802.06,115802.06
57,,0.0,0.0,Adam Anderson,179975.0,0.0,179975.0,179975.0
107,Christopher Benjamin,79145.37,0.0,,0.0,0.0,79145.37,79145.37
63,Dianne-Ms-Dee Hart,38342.25,0.0,,0.0,0.0,38342.25,38342.25
62,Michele-K Rayner,167253.64,0.0,Jeremy-M Brown,44975.39000000002,0.0,122278.25,212229.03000000003
32,,0.0,0.0,Thad Altman,20176.94,87.64,20176.94,20176.94
109,Ashley-V Gantt,136830.09999999998,0.0,,0.0,0.0,136830.09999999998,136830.09999999998
99,Daryl Campbell,93307.57,75.0,,0.0,0.0,93307.57,93307.57
25,,0.0,0.0,Taylor Yarkosky,281840.99,10274.23,281840.99,281840.99
74,,0.0,0.0,James Buchanan,83065.16,75.12,83065.16,83065.16
20,,0.0,0.0,Bobby Payne,164038.53000000003,32000.16,164038.53000000003,164038.53000000003
97,Lisa Dunkley,16746.510000000002,0.0,,0.0,0.0,16746.510000000002,16746.510000000002
104,Felicia-Simone Robinson,37536.54,0.0,,0.0,0.0,37536.54,37536.54
41,Bruce-H Antone,33900.0,0.0,,0.0,0.0,33900.0,33900.0
30,,0.0,0.0,Chase Tramont,243524.72,10331.26,243524.72,243524.72
102,Michael Gottlieb,36561.32,0.0,,0.0,0.0,36561.32,36561.32
